LETTER,TYPE,INVERSION,STRINGONE,STRINGTWO,STRINGTHREE,STRINGFOUR,STRINGFIVE,STRINGSIX,SHAPE
Cn,MAJOR,0,8,7,5,5,5,0,1
Cn,MAJOR,0,X,3,2,0,1,0,0
Cn,MAJOR7,0,X,3,2,4,0,3,0
Cn,MAJOR9,0,X,3,0,3,5,3,0
Cn,MINOR,0,8,6,5,0,8,8,1
Cn,MINOR,0,X,3,1,0,1,3,0
Cn,MINOR7,0,X,3,1,3,1,3,0
Cn,MINOR9,0,X,3,0,3,4,3,0
Cn,DIMINISHED,0,X,3,1,X,1,2,0
Cn,DOMINANT7,0,X,3,2,3,X,3,0
Cn,DOMINANT9,0,X,3,2,3,X,3,0
Cn,SUS2,0,8,5,5,0,8,8,1
Cn,SUS2,0,X,3,0,0,3,3,0
Cn,SUS4,0,8,8,5,5,6,8,1
Cn,SUS4,0,X,3,3,0,1,1,0
Cn,FIFTH,0,X,3,X,0,1,3,0
Cn,SEVENTH,0,3,2,0,0,0,0,0
Cn,DIMINISHED,0,X,3,1,X,1,2,0
Cn,MINOR11,0,8,5,5,8,6,6,0
Cn,DOMINANT13,0,X,3,5,3,5,5,0
Cn,HALF-DIM,0,X,3,1,3,1,2,0
Cn,MAJOR6,0,X,3,2,2,1,3,0
Cn,MINOR6,0,X,3,1,2,3,3,0
An,MAJOR,0,5,7,7,6,5,5,1
An,MAJOR,0,X,0,2,2,2,0,0
An,MINOR,0,X,0,2,2,1,0,1
An,DOMINANT,0,5,4,5,0,5,0,1
An,DOMINANT,0,X,0,2,0,2,0,0
An,SUS2,0,X,0,X,X,0,0,0
An,SUS4,0,5,0,0,7,5,5,1
An,FIFTH,0,X,0,X,X,X,0,0
An,SEVENTH,0,X,0,2,0,2,0,0
An,MINOR7,0,X,3,1,3,1,3,0
An,MINOR9,0,X,3,0,3,4,3,0
An,DIMINISHED,0,X,3,1,X,1,2,0
An,DOMINANT9,0,X,3,2,3,X,3,0
An,MINOR11,0,8,6,5,5,6,6,0
An,MAJOR6,0,5,4,4,X,5,5,0
An,MINOR6,0,5,3,2,2,0,0,0
An,HALF-DIM,0,X,3,1,3,1,2,0
An,MINOR9,0,X,3,0,3,4,3,0
An,AUG,0,X,0,3,2,2,1,
An,,0,,,,,,,
An,,0,,,,,,,
An,,0,,,,,,,
Bn,MAJOR,0,7,6,4,4,0,7,1
Bn,MAJOR,0,X,2,1,X,0,2,0
Bn,MINOR,0,X,2,0,X,0,2,0
Bn,MINOR,0,7,9,9,7,7,7,1
Bn,DOMINANT,0,7,0,4,4,4,5,1
Bn,DOMINANT,0,X,2,1,2,0,2,0
Bn,SUS2,0,X,2,X,X,2,2,0
Bn,SUS4,0,7,7,9,9,7,7,1
Bn,FIFTH,0,X,2,X,X,0,2,0
Bn,SEVENTH,0,X,2,1,2,0,2,0
Bn,MAJOR7,0,7,9,8,8,7,7,0
Bn,MAJOR9,0,,,,,,,
Bn,MINOR7,0,X,2,0,2,0,2,0
Bn,AUG,0,X,2,1,0,0,3,
Bn,MAJOR6,0,X,2,1,1,0,2,
Bn,HALF-DIM,0,X,2,0,2,0,1,0
Bn,MINOR11,0,,,,,,,
Dn,MAJOR,0,X,X,0,2,3,2,0
Dn,MINOR,0,X,X,0,2,3,1,0
Dn,DOMINANT,0,X,X,0,2,1,2,0
Dn,SUS2,0,X,X,0,2,X,0,0
Dn,SUS4,0,X,X,0,2,3,3,0
Dn,FIFTH,0,X,X,0,2,X,X,0
Dn,SEVENTH,0,X,X,0,2,1,2,0
Dn,MAJOR7,0,X,X,0,2,2,2,1
Dn,MAJOR9,0,X,2,1,X,2,2,
Dn,MINOR11,0,10,0,10,10,8,0,
Dn,MINOR7,0,X,X,0,2,1,1,1
Dn,MINOR9,0,X,5,7,5,6,0,
Dn,HALF-DIM,0,X,X,0,1,1,1,1
Dn,DIMINISHED,0,X,X,0,1,3,1,
Dn,MINOR6,0,X,5,3,4,5,5,
Dn,MAJOR6,0,X,5,4,4,3,5,
En,MAJOR,0,0,2,2,1,0,0,0
En,MINOR,0,0,2,2,0,0,0,0
En,DOMINANT,0,0,2,0,1,0,0,0
En,SUS2,0,X,X,0,2,X,0,0
En,SUS4,0,0,2,2,2,0,0,0
En,FIFTH,0,0,X,X,X,0,0,0
En,SEVENTH,0,0,X,0,1,0,0,0
En,MAJOR7,0,0,X,1,1,0,0,
En,MAJOR9,0,0,2,2,1,0,2,
En,MAJOR6,0,0,2,2,4,2,4,
En,MINOR6,0,0,2,4,0,2,2,
En,MINOR7,0,0,2,0,0,3,0,
En,MINOR9,0,0,2,0,0,0,2,
En,HALF-DIM,0,0,1,0,0,3,3,
En,DIMINISHED,0,0,7,8,0,8,0,
En,MINOR11,0,10,0,10,10,8,10,
Fn,MAJOR,0,1,3,3,2,1,1,0
Fn,MINOR,0,X,X,3,1,1,4,0
Fn,DOMINANT,0,1,3,1,2,1,1,0
Fn,SUS2,0,1,X,X,0,1,1,0
Fn,SUS4,0,1,1,3,3,1,1,0
Fn,FIFTH,0,1,3,3,X,1,1,0
Fn,SEVENTH,0,1,0,X,X,1,0,0
Fn,MAJOR6,0,1,0,0,2,1,1,
Fn,MAJOR7,0,1,0,3,2,1,0,
Fn,MAJOR9,0,1,0,1,0,1,3,
Fn,MINOR6,0,1,3,0,1,1,3,
Fn,MINOR7,0,1,3,1,1,4,1,
Fn,MINOR9,0,1,3,1,1,1,3,
Fn,HALF-DIM,0,1,2,3,1,4,1,
Fn,DIMINISHED,0,X,X,3,4,6,4,
Fn,AUG,0,X,8,7,6,6,5,
Gn,MAJOR,0,X,X,5,4,3,3,0
Gn,MINOR,0,3,1,0,0,3,3,0
Gn,SUS2,0,1,X,X,0,1,1,0
Gn,SUS4,0,3,5,3,0,0,3,0
Gn,DOMINANT,0,X,10,10,0,8,10,1
Gn,DOMINANT,0,3,2,0,0,3,1,0
Gn,MAJOR-SEVENTH,0,1,0,X,X,1,0,0
Gn,MAJOR7,0,3,1,0,0,0,2,
Gn,MAJOR6,0,3,2,0,0,3,0,
Gn,MAJOR9,0,3,0,0,2,0,1,
Gn,MINOR6,0,3,1,0,2,3,0,
Gn,MINOR7,0,3,1,0,0,3,1,
Gn,MINOR9,0,3,0,0,3,3,1,
Gn,AUG,0,3,2,1,0,0,3,
Gn,HALF-DIM,0,3,1,3,3,2,1,
Gn,DIMINISHED,0,3,1,X,0,2,3,
C#,MAJOR,0,X,4,6,6,6,4,
C#,MAJOR,0,X,4,3,1,2,1,
C#,MAJOR7,0,9,8,6,6,6,8,
C#,MAJOR9,0,9,6,6,8,6,9,
C#,MINOR,0,X,4,6,6,5,0,
C#,MINOR,0,X,4,2,1,2,0,
C#,MINOR7,0,X,4,2,4,0,4,
C#,MINOR9,0,9,6,6,6,0,0,
C#,DIMINISHED,0,X,4,2,0,2,0,
C#,DOMINANT7,0,X,4,6,4,6,4,
C#,AUG,0,X,4,3,2,2,1,
C#,SUS2,0,X,4,6,6,4,4,
C#,SUS2,0,9,6,6,6,9,9,
C#,SUS4,0,X,4,4,X,2,4,
C#,SUS4,0,X,4,4,1,2,4,
C#,FIFTH,0,X,4,6,6,X,X,
C#,SEVENTH,0,X,4,6,5,6,4,
C#,DIMINISHED,0,X,4,2,0,2,0,
C#,MINOR11,0,9,9,6,8,6,7,
C#,DOMINANT13,0,,,,,,,
C#,HALF-DIM,0,X,4,2,0,0,0,
C#,MAJOR6,0,X,4,3,3,2,4,
C#,MINOR6,0,X,4,6,3,4,0,
A#,MAJOR,0,X,1,0,3,3,1,
A#,MAJOR,0,6,5,3,3,3,6,
A#,MAJOR7,0,6,0,3,3,3,5,
A#,AUG,0,X,1,0,3,3,2,
A#,MINOR,0,X,1,3,3,2,1,
A#,MINOR,0,6,4,3,3,6,6,
A#,MINOR7,0,6,8,8,6,9,9,
A#,MINOR9,0,,,,,,,
A#,DIMINISHED,0,6,4,X,6,5,0,
A#,DOMINANT7,0,X,1,0,1,3,1,
A#,DOMINANT9,0,,,,,,,
A#,SUS2,0,X,1,3,3,1,1,
A#,SUS2,0,6,3,3,3,6,6,
A#,SUS4,0,6,6,3,3,4,6,
A#,SUS4,0,6,8,8,8,6,6,
A#,FIFTH,0,X,1,3,3,X,1,
A#,SEVENTH,0,6,8,6,7,6,6,
A#,DIMINISHED,0,6,4,X,6,5,0,
A#,MINOR11,0,,,,,,,
A#,DOMINANT13,0,,,,,,,
A#,HALF-DIM,0,X,1,2,1,2,0,
A#,MAJOR6,0,X,1,0,0,X,1,
A#,MINOR6,0,,,,,,,
D#,MAJOR,0,X,6,5,0,4,6,
D#,MAJOR,0,X,6,8,0,8,6,
D#,MAJOR7,0,X,6,0,0,4,6,
D#,MAJOR9,0,X,6,8,0,6,6,
D#,MINOR,0,X,6,4,X,4,6,
D#,MINOR,0,X,6,8,8,7,6,
D#,MINOR7,0,X,6,4,6,4,6,
D#,AUG,0,X,6,5,0,0,7,
D#,DIMINISHED,0,X,6,4,X,4,5,
D#,DOMINANT7,0,X,6,8,8,8,9,
D#,DOMINANT9,0,X,6,8,0,7,9,
D#,SUS2,0,X,6,8,8,6,6,
D#,SUS2,0,X,6,3,3,6,6,
D#,SUS4,0,X,6,6,X,4,6,
D#,SUS4,0,X,6,6,8,X,6,
D#,FIFTH,0,X,6,8,8,X,6,
D#,SEVENTH,0,X,6,8,7,8,6,
D#,DIMINISHED,0,X,6,7,X,7,5,
D#,MINOR11,0,,,,,,,
D#,DOMINANT13,0,,,,,,,
D#,HALF-DIM,0,X,X,1,2,2,2,
D#,MAJOR6,0,X,X,1,3,1,3,
D#,MINOR6,0,X,6,4,5,6,6,
F#,MAJOR,0,2,4,4,3,4,4,
F#,MAJOR,0,X,9,8,X,7,9,
F#,MAJOR7,0,2,4,3,3,2,2,
F#,MAJOR9,0,2,1,2,1,2,0,
F#,MINOR,0,X,9,7,X,7,9,
F#,MINOR,0,X,X,4,2,2,2,
F#,MINOR7,0,2,0,4,2,2,0,
F#,MINOR9,0,2,0,2,1,2,0,
F#,DIMINISHED,0,2,0,X,2,1,2,
F#,DOMINANT7,0,2,4,4,3,2,0,
F#,DOMINANT9,0,2,0,4,3,2,0,
F#,SUS2,0,2,X,X,1,2,2,
F#,SUS2,0,2,4,4,1,2,2,
F#,SUS4,0,2,4,4,4,2,2,
F#,SUS4,0,2,4,4,4,0,2,
F#,FIFTH,0,2,4,4,X,2,2,
F#,SEVENTH,0,X,X,4,3,2,1,
F#,DIMINISHED,0,2,0,X,2,1,2,
F#,AUG,0,2,X,0,3,3,2,
F#,DOMINANT13,0,,,,,,,
F#,HALF-DIM,0,2,0,2,2,1,0,
F#,MAJOR6,0,X,X,4,6,4,6,
F#,MINOR6,0,2,0,1,1,2,2,
G#,MAJOR,0,4,6,6,5,4,4,
G#,MAJOR,0,4,3,X,X,4,4,
G#,MAJOR7,0,4,6,5,5,4,4,
G#,MAJOR9,0,4,6,4,5,4,6,
G#,MINOR,0,4,6,6,4,4,4,
G#,MINOR,0,X,X,6,8,0,7,
G#,MINOR7,0,X,X,6,8,7,7,
G#,MINOR9,0,4,6,4,4,4,6,
G#,DIMINISHED,0,4,2,0,4,0,4,
G#,DOMINANT7,0,4,6,4,5,4,4,
G#,DOMINANT9,0,4,2,1,1,1,2,
G#,SUS2,0,4,6,6,X,4,6,
G#,SUS2,0,X,X,6,8,X,6,
G#,SUS4,0,4,6,6,6,4,4,
G#,SUS4,0,4,4,6,6,4,4,
G#,FIFTH,0,4,6,6,X,4,4,
G#,SEVENTH,0,4,3,1,0,4,4,
G#,DIMINISHED,0,4,2,0,4,0,4,
G#,AUG,0,4,3,2,1,1,0,
G#,DOMINANT13,0,,,,,,,
G#,HALF-DIM,0,4,6,4,4,4,5,
G#,MAJOR6,0,4,3,3,1,4,4,
G#,MINOR6,0,4,2,3,3,4,4,
Gf,MAJOR,0,2,4,4,3,2,2,
Gf,MAJOR,0,X,9,8,X,7,9,
Gf,MAJOR7,0,X,X,4,6,6,6,
Gf,MAJOR9,0,2,1,2,1,2,0,
Gf,MINOR,0,X,X,4,6,X,5,
Gf,MINOR,0,2,0,4,2,2,5,
Gf,MINOR7,0,2,0,4,2,2,0,
Gf,MINOR9,0,2,0,2,1,2,0,
Gf,DIMINISHED,0,2,0,X,2,1,2,
Gf,DOMINANT7,0,2,4,4,3,2,0,
Gf,DOMINANT9,0,,,,,,,
Gf,SUS2,0,2,4,4,X,2,4,
Gf,SUS2,0,2,4,4,1,2,2,
Gf,SUS4,0,2,4,4,4,2,2,
Gf,SUS4,0,X,X,4,6,0,7,
Gf,FIFTH,0,2,4,4,X,2,2,
Gf,SEVENTH,0,,,,,,,
Gf,DIMINISHED,0,2,0,4,5,X,5,
Gf,MAJOR11,0,2,2,3,3,2,4,
Gf,AUG,0,2,1,0,3,3,0,
Gf,HALF-DIM,0,2,0,2,2,1,0,
Gf,MAJOR6,0,2,1,1,X,2,2,
Gf,MINOR6,0,2,0,1,1,2,2,
Af,MAJOR,0,4,6,6,5,4,4,
Af,MAJOR,0,4,3,1,1,4,4,
Af,MINOR,0,4,6,6,4,4,4,
Af,MINOR,0,X,X,6,8,0,7,
Af,DOMINANT,0,4,6,4,5,4,4,
Af,DOMINANT,0,4,3,1,1,1,2,
Af,SUS2,0,4,1,1,3,4,4,
Af,SUS4,0,4,4,6,6,4,4,
Af,FIFTH,0,4,6,6,X,4,4,
Af,SEVENTH,0,4,6,5,5,4,4,
Af,MINOR7,0,X,X,6,8,7,7,
Af,MINOR9,0,4,6,4,4,0,6,
Af,DIMINISHED,0,4,2,0,4,0,4,
Af,DOMINANT9,0,4,6,4,5,4,6,
Af,AUG,0,4,2,1,5,5,0,
Af,MAJOR6,0,4,6,6,5,6,4,
Af,MINOR6,0,,,,,,,
Af,HALF-DIM,0,4,2,0,4,0,2,
Af,MINOR9,0,4,6,4,4,4,6,
Bf,MAJOR,0,X,1,0,3,3,1,
Bf,MAJOR,0,6,8,0,7,6,6,
Bf,MINOR,0,X,1,3,3,2,1,
Bf,MINOR,0,6,8,8,6,6,6,
Bf,DOMINANT,0,6,8,6,8,6,6,
Bf,DOMINANT,0,X,1,3,2,1,1,
Bf,SUS2,0,X,1,3,3,1,1,
Bf,SUS4,0,6,8,8,8,6,6,
Bf,FIFTH,0,X,1,3,3,X,1,
Bf,SEVENTH,0,X,1,0,1,3,1,
Bf,MAJOR7,0,6,0,0,X,6,5,
Bf,MAJOR9,0,,,,,,,
Bf,MINOR7,0,X,1,3,1,2,1,
Bf,MINOR9,0,,,,,,,
Bf,MAJOR6,0,X,1,0,0,3,2,
Bf,HALF-DIM,0,6,4,6,6,5,4,
Bf,AUG,0,X,1,0,3,3,2,
Df,MAJOR,0,X,4,6,6,6,4,
Df,MINOR,0,9,7,X,9,9,0,
Df,DOMINANT,0,X,4,6,4,6,6,
Df,SUS2,0,9,6,6,8,9,9,
Df,SUS4,0,X,4,4,1,2,2,
Df,FIFTH,0,X,4,6,6,X,4,
Df,SEVENTH,0,X,4,3,1,0,1,
Df,MAJOR7,0,X,4,6,5,6,4,
Df,MAJOR9,0,9,6,6,8,6,7,
Df,MINOR11,0,9,9,6,8,0,0,
Df,MINOR7,0,X,4,2,4,0,4,
Df,MINOR9,0,X,4,6,4,4,0,
Df,HALF-DIM,0,X,4,2,0,0,3,
Df,DIMINISHED,0,X,4,2,0,2,0,
Df,MINOR6,0,X,4,2,3,4,4,
Df,MAJOR6,0,X,4,3,3,2,4,
Ef,MAJOR,0,X,6,5,0,4,6,
Ef,MINOR,0,X,6,8,8,7,6,
Ef,DOMINANT,0,X,6,5,6,5,6,
Ef,SUS2,0,X,6,8,8,6,6,
Ef,SUS4,0,X,6,6,X,4,6,
Ef,FIFTH,0,X,6,8,8,X,6,
Ef,SEVENTH,0,X,6,8,6,8,6,
Ef,MAJOR7,0,X,6,0,0,4,6,
Ef,MAJOR9,0,X,6,5,0,6,6,
Ef,MAJOR6,0,X,6,5,5,4,6,
Ef,MINOR6,0,X,6,4,5,6,6,
Ef,MINOR7,0,X,6,8,6,7,6,
Ef,MINOR9,0,,,,,,,
Ef,HALF-DIM,0,X,6,4,6,4,5,
Ef,DIMINISHED,0,X,X,1,2,4,2,
Ef,AUG,0,X,6,5,0,0,1,
V2,,,,,,,,,
C,MAJOR13,0,X,3,5,4,4,5,
C,MINMAJ7,0,X,3,1,0,0,3,
C,MINMAJ6,0,X,3,1,2,1,3,
D,MAJOR13,0,X,5,4,4,2,5,
D,MINMAJ7,0,X,X,0,2,2,1,
D,MINMAJ6,0,X,5,3,4,3,5,
E,MAJOR13,0,0,2,1,1,2,2,
E,MINMAJ7,0,0,2,1,0,0,0,
E,MINMAJ6,0,0,2,2,0,2,0,
F,MAJOR13,0,1,X,2,2,3,X,
F,MINMAJ7,0,1,3,2,1,1,0,
F,MINMAJ6,0,1,3,3,1,3,1,
G,MAJOR13,0,3,X,4,4,5,X,
G,MINMAJ7,0,3,1,0,0,3,2,
G,MINMAJ6,0,3,1,0,0,3,0,
A,MAJOR13,0,5,X,6,6,7,X,
A,MINMAJ7,0,X,0,2,1,1,0,
A,MINMAJ6,0,X,0,2,2,1,2,
B,MAJOR13,0,X,2,X,3,4,4,
B,MINMAJ7,0,X,2,0,3,0,2,
B,MINMAJ6,0,X,2,0,1,0,2,
On,MAJOR,0,0,0,0,0,0,0,
